,Marital status,Application mode,Application order,Course,Daytime/evening attendance,Previous qualification,Previous qualification (grade),Nationality,Mother's qualification,Father's qualification,Mother's occupation,Father's occupation,Admission grade,Displaced,Educational special needs,Debtor,Tuition fees up to date,Gender,Scholarship holder,Age at enrollment,International,Curricular units 1st sem (credited),Curricular units 1st sem (enrolled),Curricular units 1st sem (evaluations),Curricular units 1st sem (approved),Curricular units 1st sem (grade),Curricular units 1st sem (without evaluations),Curricular units 2nd sem (credited),Curricular units 2nd sem (enrolled),Curricular units 2nd sem (evaluations),Curricular units 2nd sem (approved),Curricular units 2nd sem (grade),Curricular units 2nd sem (without evaluations),Unemployment rate,Inflation rate,GDP,Target
261,single,1st phase - general contingent,2.0,Journalism and Communication,daytime,Secondary education,122.0,Portuguese,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Unskilled Workers,Unskilled Workers,118.0,yes,no,no,yes,female,no,19.0,no,0.0,6.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,15.5,2.8,-4.06,Dropout
262,married,Over 23 years old,1.0,Management (evening attendance),evening,Basic education 3rd cycle (9th/10th/11th year) or equiv.,133.1,Portuguese,Unknown,Unknown,Student,Student,118.0,no,no,no,no,female,no,32.0,no,0.0,5.0,5.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,7.6,2.6,0.32,Dropout
263,divorced,Over 23 years old,1.0,Agronomy,daytime,Other - 11th year of schooling,110.0,Portuguese,Basic education 1st cycle (4th/5th year) or equiv.,Basic education 1st cycle (4th/5th year) or equiv.,Unskilled Workers,"Personal Services, Security and Safety Workers and Sellers",113.0,no,no,no,yes,female,no,43.0,no,0.0,6.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,15.5,2.8,-4.06,Dropout
264,married,Over 23 years old,1.0,Management (evening attendance),evening,Secondary education,120.0,Portuguese,Basic education 1st cycle (4th/5th year) or equiv.,Basic education 1st cycle (4th/5th year) or equiv.,Unskilled Workers,Installation and Machine Operators and Assembly Workers,121.0,no,no,no,yes,female,no,32.0,no,0.0,5.0,5.0,0.0,0.0,0.0,0.0,5.0,7.0,0.0,0.0,0.0,13.9,-0.3,0.79,Graduate
265,single,1st phase - general contingent,1.0,Veterinary Nursing,daytime,Secondary education,139.0,Portuguese,Secondary Education - 12th Year of Schooling or Eq.,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Unskilled Workers,Unskilled Workers,146.0,yes,no,no,yes,female,yes,19.0,no,0.0,5.0,9.0,5.0,12.6,1.0,0.0,5.0,9.0,4.0,13.25,0.0,12.7,3.7,-1.7,Dropout
266,single,1st phase - general contingent,1.0,Basic Education,daytime,Secondary education,128.0,Portuguese,Basic education 1st cycle (4th/5th year) or equiv.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Unskilled Workers,Installation and Machine Operators and Assembly Workers,122.0,no,no,no,yes,female,yes,19.0,no,0.0,7.0,7.0,7.0,14.428571428571429,0.0,0.0,7.0,7.0,7.0,14.428571428571429,0.0,13.9,-0.3,0.79,Graduate
267,single,1st phase - general contingent,2.0,Nursing,daytime,Secondary education,142.0,Portuguese,Basic education 1st cycle (4th/5th year) or equiv.,Basic education 1st cycle (4th/5th year) or equiv.,Unskilled Workers,Unskilled Workers,127.0,yes,no,no,yes,female,no,18.0,no,0.0,7.0,8.0,6.0,11.0,0.0,0.0,7.0,9.0,5.0,13.36,0.0,7.6,2.6,0.32,Graduate
268,single,2nd phase - general contingent,1.6440843447013356,Tourism,daytime,Secondary education,125.0,Portuguese,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,"Personal Services, Security and Safety Workers and Sellers","Farmers and Skilled Workers in Agriculture, Fisheries and Forestry",122.0,yes,no,no,yes,female,no,18.0,no,0.0,6.0,10.0,4.0,11.25,0.0,0.0,6.0,14.0,3.0,10.0,0.0,7.6,1.2298957284038008,0.32,Enrolled
269,single,1st phase - general contingent,4.0,Nursing,daytime,Secondary education,131.0,Portuguese,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Secondary Education - 12th Year of Schooling or Eq.,"Skilled Workers in Industry, Construction and Craftsmen","Skilled Workers in Industry, Construction and Craftsmen",126.0,yes,no,no,yes,female,no,19.0,no,0.0,7.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,12.4,0.5,1.79,Dropout
270,single,1st phase - general contingent,1.0,Nursing,daytime,Basic education 3rd cycle (9th/10th/11th year) or equiv.,133.1,Portuguese,Basic education 1st cycle (4th/5th year) or equiv.,Basic education 1st cycle (4th/5th year) or equiv.,"Skilled Workers in Industry, Construction and Craftsmen",Administrative staff,98.0,no,no,no,yes,male,no,48.0,no,0.0,6.0,15.0,1.0,9.999381453987953,0.0,0.0,6.0,13.0,3.0,12.666666666666666,0.0,15.5,2.8,-4.06,Dropout
271,single,2nd phase - general contingent,3.0,Animation and Multimedia Design,daytime,Secondary education,133.1,Portuguese,Basic education 1st cycle (4th/5th year) or equiv.,Basic education 1st cycle (4th/5th year) or equiv.,Unskilled Workers,Unskilled Workers,134.0,yes,no,no,yes,female,no,18.0,no,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.6,2.6,0.32,Dropout
272,single,1st phase - general contingent,1.0,Informatics Engineering,daytime,Secondary education,129.0,Portuguese,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Basic education 1st cycle (4th/5th year) or equiv.,"Personal Services, Security and Safety Workers and Sellers","Personal Services, Security and Safety Workers and Sellers",121.0,no,no,no,yes,male,no,19.0,no,0.0,5.0,9.0,1.0,12.0,0.0,0.0,5.0,9.0,2.0,11.5,1.0,7.6,2.6,0.32,Enrolled
273,single,Change of institution/course,1.0,Communication Design,daytime,Secondary education,140.0,Portuguese,Higher Education - Degree,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Intermediate Level Technicians and Professions,Armed Forces Professions,148.0,no,no,no,yes,female,no,21.0,no,5.0,9.0,9.0,9.0,10.88888888888889,0.0,5.0,11.0,11.0,11.0,11.545454545454543,0.0,11.1,0.6,2.02,Graduate
274,single,1st phase - general contingent,1.0,Social Service,daytime,Secondary education,125.0,Portuguese,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,"Personal Services, Security and Safety Workers and Sellers","Personal Services, Security and Safety Workers and Sellers",114.0,yes,no,no,yes,female,no,19.0,no,0.0,6.0,13.0,4.0,12.0,0.0,0.0,6.0,10.0,4.0,11.25,0.0,16.2,0.3,-0.92,Dropout
275,single,1st phase - special contingent (Madeira Island),2.0,Management,daytime,Secondary education,144.0,Portuguese,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Unskilled Workers,"Personal Services, Security and Safety Workers and Sellers",126.0,yes,no,no,yes,female,no,18.0,no,0.0,5.0,10.0,3.0,12.666666666666666,1.0,0.0,5.0,7.0,5.0,11.6,0.0,9.4,-0.8,-3.12,Enrolled
276,single,1st phase - general contingent,1.0,Social Service,daytime,Secondary education,125.0,Portuguese,Secondary Education - 12th Year of Schooling or Eq.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Administrative staff,Armed Forces Professions,121.0,no,no,no,yes,female,no,18.0,no,0.0,6.0,6.0,6.0,12.666666666666666,0.0,0.0,6.0,6.0,4.007985601919744,12.833333333333334,0.0,11.51991535071858,-0.8,-3.12,Graduate
277,single,1st phase - general contingent,1.0,Advertising and Marketing Management,daytime,Secondary education,128.0,Portuguese,Higher Education - Degree,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Specialists in Intellectual and Scientific Activities,Armed Forces Professions,120.0,yes,no,no,yes,male,no,19.0,no,0.0,6.0,11.0,4.0,13.25,0.0,0.0,6.0,11.0,5.0,12.4,0.0,13.9,-0.3,0.79,Dropout
278,single,1st phase - general contingent,1.0,Informatics Engineering,daytime,Secondary education,132.0,Portuguese,Basic education 1st cycle (4th/5th year) or equiv.,Basic education 1st cycle (4th/5th year) or equiv.,Unskilled Workers,"Skilled Workers in Industry, Construction and Craftsmen",120.0,yes,no,no,yes,male,no,19.0,no,0.0,5.0,12.0,3.0,10.0,0.0,0.0,5.0,9.0,2.0,11.0,0.0,7.6,1.2298957284038008,0.32,Enrolled
279,single,1st phase - general contingent,3.0,Journalism and Communication,daytime,Secondary education,121.0,Portuguese,Secondary Education - 12th Year of Schooling or Eq.,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Installation and Machine Operators and Assembly Workers,"Skilled Workers in Industry, Construction and Craftsmen",114.0,yes,no,no,yes,female,yes,18.0,no,0.0,6.0,6.0,4.0,12.25,0.0,0.0,6.0,6.0,3.0,10.666666666666666,0.0,11.1,0.6,2.02,Enrolled
280,single,2nd phase - general contingent,1.0,Nursing,daytime,Secondary education,136.0,Portuguese,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Secondary Education - 12th Year of Schooling or Eq.,"Personal Services, Security and Safety Workers and Sellers","Personal Services, Security and Safety Workers and Sellers",131.0,yes,no,no,yes,female,yes,18.0,no,0.0,7.0,8.0,7.0,13.6125,0.0,0.0,7.0,8.0,8.0,14.575,0.0,11.1,0.6,-0.08006514178705189,Graduate
281,single,1st phase - general contingent,1.0,Basic Education,daytime,Secondary education,135.0,Portuguese,Basic education 1st cycle (4th/5th year) or equiv.,Basic education 1st cycle (4th/5th year) or equiv.,Unskilled Workers,"Personal Services, Security and Safety Workers and Sellers",137.0,yes,no,no,yes,female,no,20.0,no,0.0,6.0,6.0,6.0,13.333333333333334,0.0,0.0,6.0,6.0,6.0,14.0,0.0,7.6,2.6,0.32,Graduate
282,single,2nd phase - general contingent,2.0,Tourism,daytime,Secondary education,111.0,Portuguese,Secondary Education - 12th Year of Schooling or Eq.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Unskilled Workers,Armed Forces Professions,117.0,yes,no,no,yes,female,no,20.0,no,0.0,6.0,8.0,6.0,12.333333333333334,0.0,0.0,6.0,6.0,6.0,9.626998241540127,0.0,9.4,-0.8,-3.12,Graduate
283,single,1st phase - general contingent,1.0,Social Service,daytime,Secondary education,131.0,Portuguese,Secondary Education - 12th Year of Schooling or Eq.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Administrative staff,"Personal Services, Security and Safety Workers and Sellers",121.0,no,no,no,yes,female,yes,19.0,no,0.0,6.0,9.0,6.0,11.833333333333334,0.0,0.0,6.0,12.0,5.0,13.6,0.0,13.9,-0.3,0.79,Graduate
284,single,1st phase - general contingent,4.0,Nursing,daytime,Secondary education,125.0,Portuguese,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Administrative staff,Armed Forces Professions,119.0,yes,no,no,yes,male,no,18.0,no,0.0,7.0,8.0,7.0,13.175,0.0,0.0,8.0,12.0,4.0,13.375,0.0,13.9,-0.3,0.79,Enrolled
285,single,1st phase - general contingent,1.0,Social Service,daytime,Secondary education,123.0,Portuguese,Secondary Education - 12th Year of Schooling or Eq.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Administrative staff,"Personal Services, Security and Safety Workers and Sellers",118.0,no,no,no,yes,female,no,19.0,no,0.0,6.0,6.0,6.0,11.666666666666666,0.0,0.0,6.0,7.0,6.0,12.0,0.0,8.9,1.4,3.51,Graduate
286,single,1st phase - general contingent,3.0,Journalism and Communication,daytime,Secondary education,137.0,Portuguese,Secondary Education - 12th Year of Schooling or Eq.,Secondary Education - 12th Year of Schooling or Eq.,Administrative staff,"Personal Services, Security and Safety Workers and Sellers",126.0,yes,no,no,yes,female,no,18.0,no,0.0,6.0,6.0,6.0,14.833333333333334,0.0,0.1369956782004134,6.0,6.0,6.0,14.166666666666666,0.0,12.4,0.5,1.79,Graduate
287,single,1st phase - special contingent (Madeira Island),4.0,Nursing,daytime,Secondary education,145.0,Portuguese,Secondary Education - 12th Year of Schooling or Eq.,Secondary Education - 12th Year of Schooling or Eq.,Administrative staff,Unskilled Workers,127.0,yes,no,no,yes,female,no,18.0,no,0.0,8.0,7.349473483714728,8.0,13.11,0.0,0.0,8.0,8.0,8.0,13.11,0.0,9.4,-0.8,-3.12,Graduate
288,single,Over 23 years old,1.0,Management (evening attendance),evening,Secondary education,140.0,Portuguese,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Basic education 1st cycle (4th/5th year) or equiv.,Unskilled Workers,Unskilled Workers,120.0,no,no,no,yes,male,no,31.0,no,0.0,5.0,5.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,12.7,3.7,-1.7,Dropout
289,married,Over 23 years old,1.0,Journalism and Communication,daytime,Secondary education,130.0,Portuguese,Basic education 1st cycle (4th/5th year) or equiv.,Basic education 1st cycle (4th/5th year) or equiv.,Unskilled Workers,"Skilled Workers in Industry, Construction and Craftsmen",150.0,no,no,no,yes,female,yes,44.0,no,0.0,6.0,8.0,6.0,13.428571428571429,0.0,0.1369956782004134,6.0,7.0,6.0,13.142857142857142,0.0,13.9,-0.3,0.79,Graduate
290,single,1st phase - general contingent,5.0,Nursing,daytime,Secondary education,133.1,Portuguese,Basic education 1st cycle (4th/5th year) or equiv.,Basic education 1st cycle (4th/5th year) or equiv.,"Skilled Workers in Industry, Construction and Craftsmen","Skilled Workers in Industry, Construction and Craftsmen",123.0,yes,no,no,yes,female,yes,19.0,no,0.0,8.0,9.0,7.0,13.714285714285714,0.0,0.0,8.0,9.0,7.0,13.714285714285714,0.0,12.7,3.7,-1.7,Graduate
291,single,1st phase - general contingent,1.0,Basic Education,daytime,Secondary education,137.0,Portuguese,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,"Personal Services, Security and Safety Workers and Sellers","Personal Services, Security and Safety Workers and Sellers",126.0,yes,no,no,yes,female,no,18.0,no,0.0,6.0,7.0,6.0,12.666666666666666,0.0,0.0,6.0,10.0,5.0,12.8,0.0,10.8,1.4,1.74,Graduate
292,single,1st phase - general contingent,1.0,Social Service,daytime,Secondary education,175.0,Portuguese,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,"Skilled Workers in Industry, Construction and Craftsmen",Armed Forces Professions,157.0,yes,no,no,yes,female,no,19.0,no,0.0,6.0,6.0,6.0,14.0,0.0,0.0,6.0,6.0,6.0,13.166666666666666,0.0,10.8,1.4,1.74,Graduate
293,single,1st phase - general contingent,1.0,Social Service,daytime,Secondary education,133.1,Portuguese,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Administrative staff,"Personal Services, Security and Safety Workers and Sellers",97.0,yes,no,no,yes,female,no,20.0,no,0.0,6.0,8.0,6.0,11.25,0.0,0.0,6.0,8.0,5.0,11.0,0.0,12.7,3.7,-1.7,Graduate
294,single,2nd phase - general contingent,1.0,Journalism and Communication,daytime,Secondary education,121.0,Portuguese,Secondary Education - 12th Year of Schooling or Eq.,Secondary Education - 12th Year of Schooling or Eq.,"Personal Services, Security and Safety Workers and Sellers","Personal Services, Security and Safety Workers and Sellers",123.0,no,no,no,yes,male,no,20.0,no,0.0,6.0,7.349473483714728,4.0,14.0,0.0,0.0,6.0,13.0,5.0,12.25,0.0,9.4,-0.8,-3.12,Graduate
295,single,Over 23 years old,1.0,Basic Education,daytime,Secondary education,133.1,Portuguese,Unknown,Unknown,Student,Student,118.0,no,no,no,yes,female,no,27.0,no,0.0,6.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,7.6,2.6,0.32,Dropout
296,single,Over 23 years old,1.0,Management (evening attendance),evening,Secondary education,140.0,Portuguese,Basic education 1st cycle (4th/5th year) or equiv.,Basic education 1st cycle (4th/5th year) or equiv.,Unskilled Workers,Unskilled Workers,128.0,no,no,no,no,male,no,33.0,no,0.0,5.0,6.0,1.0,14.0,0.0,0.0,5.0,9.0,1.0,11.0,0.0,11.51991535071858,3.7,-1.7,Dropout
297,single,1st phase - general contingent,3.0,Nursing,daytime,Secondary education,148.0,Portuguese,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Intermediate Level Technicians and Professions,"Skilled Workers in Industry, Construction and Craftsmen",131.0,yes,yes,no,yes,female,yes,18.0,no,0.0,7.0,7.0,7.0,13.411428571428573,0.0,0.0,8.0,9.0,8.0,13.094444444444443,0.0,16.2,0.3,-0.92,Graduate
298,single,1st phase - general contingent,3.0,Journalism and Communication,daytime,Secondary education,140.0,Portuguese,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Secondary Education - 12th Year of Schooling or Eq.,Unskilled Workers,Unskilled Workers,141.0,yes,no,no,yes,female,yes,20.0,no,0.0,6.0,6.0,6.0,12.333333333333334,0.0,0.0,6.0,6.0,4.007985601919744,12.5,0.0,12.4,0.5,1.79,Graduate
299,single,Over 23 years old,1.0,Agronomy,daytime,Other - 11th year of schooling,133.1,Portuguese,Basic education 1st cycle (4th/5th year) or equiv.,Basic education 1st cycle (4th/5th year) or equiv.,Unskilled Workers,"Skilled Workers in Industry, Construction and Craftsmen",120.0,no,no,yes,no,male,no,48.0,no,0.0,6.0,6.0,4.179042378738802,0.0,0.0,0.0,6.0,6.0,0.0,0.0,0.0,16.2,0.3,-0.92,Dropout
300,single,1st phase - general contingent,1.0,Journalism and Communication,daytime,Secondary education,140.0,Portuguese,Higher Education - Degree,Higher Education - Degree,Specialists in Intellectual and Scientific Activities,Specialists in Intellectual and Scientific Activities,135.0,yes,no,no,no,male,no,18.0,no,0.0,6.0,7.349473483714728,5.0,12.6,0.0,0.0,6.0,8.0,4.0,13.0,0.0,9.4,-0.8,-3.12,Enrolled
301,single,Over 23 years old,1.0,Equinculture,daytime,Secondary education,150.0,Portuguese,Higher Education - Degree,Secondary Education - 12th Year of Schooling or Eq.,Specialists in Intellectual and Scientific Activities,Administrative staff,130.0,yes,no,no,yes,male,no,35.0,no,0.0,6.0,7.349473483714728,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,8.9,1.4,3.51,Dropout
302,single,Over 23 years old,1.0,Agronomy,daytime,Secondary education,133.1,Portuguese,Secondary Education - 12th Year of Schooling or Eq.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Administrative staff,"Farmers and Skilled Workers in Agriculture, Fisheries and Forestry",120.0,no,no,no,yes,male,no,26.0,no,0.0,6.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,4.007985601919744,0.0,0.0,13.9,-0.3,0.79,Dropout
303,single,Technological specialization diploma holders,1.0,Agronomy,daytime,Technological specialization course,130.0,Portuguese,Secondary Education - 12th Year of Schooling or Eq.,Higher Education - Degree,Unskilled Workers,Armed Forces Professions,130.0,yes,no,no,yes,male,no,20.0,no,0.0,6.0,7.0,6.0,12.833333333333334,0.0,0.0,6.0,10.0,4.0,12.4,0.0,12.4,0.5,1.79,Graduate
304,married,Over 23 years old,1.0,Veterinary Nursing,daytime,Basic education 3rd cycle (9th/10th/11th year) or equiv.,133.1,Portuguese,Secondary Education - 12th Year of Schooling or Eq.,Secondary Education - 12th Year of Schooling or Eq.,Administrative staff,Administrative staff,120.0,no,no,no,yes,female,no,30.0,no,0.0,6.0,7.0,0.0,0.0,0.0,0.0,6.0,10.0,0.0,0.0,0.0,11.1,0.6,2.02,Dropout
305,single,Over 23 years old,1.0,Tourism,daytime,Secondary education,133.1,Portuguese,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,"Skilled Workers in Industry, Construction and Craftsmen",Unskilled Workers,120.0,no,no,no,yes,female,no,24.0,no,0.0,6.0,8.0,2.0,11.0,0.0,0.0,6.0,13.0,2.0,13.0,0.0,10.8,1.4,1.74,Dropout
306,single,1st phase - general contingent,1.0,Social Service,daytime,Secondary education,160.0,Portuguese,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,"Personal Services, Security and Safety Workers and Sellers","Skilled Workers in Industry, Construction and Craftsmen",155.0,yes,no,no,yes,female,no,18.0,no,0.0,6.0,7.0,6.0,12.833333333333334,0.0,0.0,6.0,6.0,6.0,12.166666666666666,0.0,10.8,1.4,1.74,Graduate
307,single,Change of course,1.0,Management,daytime,Secondary education,120.0,Portuguese,Unknown,Unknown,Student,Student,131.0,no,no,no,yes,female,no,22.0,no,11.0,15.0,17.0,12.0,11.833333333333334,0.0,10.0,14.0,15.0,11.0,13.181818181818182,1.0,7.6,2.6,0.32,Graduate
308,single,1st phase - general contingent,1.0,Animation and Multimedia Design,daytime,Secondary education,151.0,Portuguese,Secondary Education - 12th Year of Schooling or Eq.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Unskilled Workers,Unskilled Workers,151.0,yes,no,no,yes,male,no,18.0,no,0.1882140226344338,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.2,0.3,-0.92,Dropout
309,single,2nd phase - general contingent,4.0,Journalism and Communication,daytime,Secondary education,132.0,Portuguese,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,"Personal Services, Security and Safety Workers and Sellers","Personal Services, Security and Safety Workers and Sellers",126.0,yes,no,no,yes,female,no,18.0,no,0.0,6.0,6.0,4.179042378738802,14.0,0.05818361408473264,0.0,6.0,8.0,6.0,13.0,0.0,15.5,2.8,-4.06,Graduate
310,single,1st phase - general contingent,1.0,Advertising and Marketing Management,daytime,Secondary education,135.0,Portuguese,Basic education 1st cycle (4th/5th year) or equiv.,Secondary Education - 12th Year of Schooling or Eq.,Unskilled Workers,Armed Forces Professions,121.0,no,no,no,yes,male,yes,20.0,no,0.0,5.0,5.0,5.0,11.8,0.0,0.0,5.0,5.0,5.0,11.6,0.0,9.4,-0.8,-3.12,Graduate
311,single,Over 23 years old,1.0,Advertising and Marketing Management,daytime,Secondary education,140.0,Portuguese,Higher Education - Degree,Higher Education - Master's,Specialists in Intellectual and Scientific Activities,Specialists in Intellectual and Scientific Activities,131.0,no,no,no,yes,male,no,35.0,no,0.0,6.0,8.0,6.0,12.857142857142858,0.0,0.0,6.0,8.0,6.0,13.125,0.0,11.1,0.6,2.02,Graduate
312,single,Change of course,1.0,Management,daytime,Secondary education,107.0,Portuguese,Basic education 1st cycle (4th/5th year) or equiv.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,"Skilled Workers in Industry, Construction and Craftsmen","Skilled Workers in Industry, Construction and Craftsmen",103.0,no,no,no,yes,female,no,20.0,no,0.0,5.0,14.0,1.0,10.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,9.4,-0.8,-3.12,Dropout
313,single,1st phase - general contingent,2.0,Nursing,daytime,Secondary education,122.0,Portuguese,Secondary Education - 12th Year of Schooling or Eq.,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Administrative staff,Unskilled Workers,114.0,yes,no,no,yes,female,yes,18.0,no,0.0,7.0,7.0,7.0,13.918571428571427,0.0,0.0,8.0,9.0,8.0,12.8875,0.0,11.1,0.6,2.02,Graduate
314,single,1st phase - general contingent,1.0,Journalism and Communication,daytime,Secondary education,120.0,Portuguese,Secondary Education - 12th Year of Schooling or Eq.,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Unskilled Workers,Unskilled Workers,122.0,yes,no,no,yes,female,no,19.0,no,0.1882140226344338,6.0,12.0,4.0,12.5,0.0,0.0,6.0,12.0,4.0,10.5,0.0,9.4,-0.8,-3.12,Enrolled
315,single,1st phase - general contingent,1.0,Social Service,daytime,Secondary education,145.0,Portuguese,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Unskilled Workers,Unskilled Workers,138.0,yes,no,no,yes,female,yes,18.0,no,0.0,6.0,7.0,6.0,14.0,0.0,0.0,6.0,8.0,6.0,14.0,0.0,11.1,0.6,2.02,Graduate
316,single,1st phase - general contingent,1.0,Journalism and Communication,daytime,Secondary education,130.0,Portuguese,Basic education 1st cycle (4th/5th year) or equiv.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,"Personal Services, Security and Safety Workers and Sellers","Personal Services, Security and Safety Workers and Sellers",122.0,no,no,no,yes,female,yes,18.0,no,0.0,6.0,6.0,6.0,15.0,0.0,0.0,6.0,6.0,6.0,14.166666666666666,0.0,11.1,1.2298957284038008,2.02,Graduate
317,single,1st phase - general contingent,1.0,Nursing,daytime,Secondary education,149.0,Portuguese,Secondary Education - 12th Year of Schooling or Eq.,Basic education 1st cycle (4th/5th year) or equiv.,"Personal Services, Security and Safety Workers and Sellers","Personal Services, Security and Safety Workers and Sellers",139.0,no,no,no,yes,female,no,18.0,no,0.0,8.0,8.0,7.0,9.999381453987953,0.0,0.0,8.0,8.0,7.0,14.6,0.0,12.7,3.7,-1.7,Graduate
318,single,Change of institution/course,1.0,Management,daytime,Secondary education,150.0,Portuguese,Higher Education - Degree,Higher Education - Bachelor's Degree,Specialists in Intellectual and Scientific Activities,Armed Forces Professions,122.0,no,no,no,yes,male,no,29.0,no,14.0,15.0,17.0,15.0,11.8,1.0,9.0,14.0,14.0,11.0,12.363636363636363,0.0,13.9,-0.3,0.79,Graduate
319,single,2nd phase - general contingent,3.0,Tourism,daytime,Secondary education,121.0,Portuguese,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Administrative staff,Administrative staff,116.0,yes,no,no,yes,female,no,21.0,no,0.0,6.0,12.0,3.0,11.666666666666666,0.0,0.0,6.0,12.0,3.0,10.333333333333334,0.0,9.4,-0.8,-3.12,Enrolled
320,single,Change of course,1.0,Social Service,daytime,Secondary education,140.0,Portuguese,Higher Education - Degree,Higher Education - Degree,Intermediate Level Technicians and Professions,Intermediate Level Technicians and Professions,136.0,yes,no,no,yes,female,no,21.0,no,3.0,6.0,8.0,6.0,13.571428571428571,0.0,2.0,6.0,14.0,5.0,14.0,0.0,13.9,-0.3,0.79,Graduate
321,single,1st phase - general contingent,1.6440843447013356,Journalism and Communication,daytime,Secondary education,138.0,Portuguese,Secondary Education - 12th Year of Schooling or Eq.,Secondary Education - 12th Year of Schooling or Eq.,Administrative staff,Administrative staff,141.0,yes,no,no,yes,female,no,18.0,no,0.0,6.0,6.0,6.0,14.833333333333334,0.0,0.0,6.0,6.0,6.0,14.833333333333334,0.0,7.6,2.6,0.32,Graduate
322,single,2nd phase - general contingent,3.0,Nursing,daytime,Secondary education,134.0,Portuguese,Secondary Education - 12th Year of Schooling or Eq.,Higher Education - Degree,Administrative staff,"Personal Services, Security and Safety Workers and Sellers",129.0,yes,no,no,yes,female,no,18.0,no,0.0,8.0,8.0,7.0,9.999381453987953,0.0,0.0,8.0,8.0,7.0,14.85,0.0,10.8,1.4,1.74,Graduate
